url,word,definition,mnemonic,highlighted_text,images
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/scorpio.html,Scorpio,Scorpio is the sign of the scorpion and occurs on November 1st.,"['Scorpio – Scorpion', 'Scorpion – Scorpion', 'November – Novel', 'The\xa0scorpion decided to write a novel about an adventure in a rainforest.']","['Scorpio – Scorpion', '–', 'Scorpion – Scorpion', '–', 'November – Novel', '–', 'scorpion', 'novel']",['https://mammothmemory.net/images/user/base/Memory/Months/Scorpio (2).jpg']
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/sagittarius.html,Sagittarius,Sagittarius is the sign of the archer and occurs on December 1st.,"['Sagittarius – Sag', 'Archer – Archer', 'December – Christmas', 'She opened her Christmas\xa0present and had been given an archery set but the string\xa0was all saggy.']","['Sagittarius – Sag', '–', 'Archer – Archer', '–', 'December – Christmas', '–', 'Christmas', 'archery', 'saggy']",['https://mammothmemory.net/images/user/base/Memory/Months/sagittarius.0270b4a.jpg']
https://mammothmemory.net/chemistry/atomic-structure/protons/protons.html,Protons,Protons (peas) are positively charged.,"['Protons (peas) are positively charged.', 'The pea (proton) is positive.']","['Protons', 'pea']",['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.4 Proton Image (2).jpg']
https://mammothmemory.net/chemistry/atomic-structure/neutrons/neutrons.html,Neutrons,Neutrons (newts) are neutral and have no charge.,"['Neutrons (newts) are neutral and have no charge.', 'The newt (neutron) is a light brown neutral colour and has a neutral charge (zero charge).']","['Neutrons', 'newt (neutron)', '(neutron)']",['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/remember-neutron-resized-in-chemistry.973990c.jpg']
https://mammothmemory.net/chemistry/atomic-structure/electron/electron.html,Electrons,Electrons (electronic robots) are negatively charged.,"['Electrons (electronic robots) are negatively charged.', 'The electronic robots (electrons)\xa0are negative and have a negative charge.']","['Electrons', 'electronic robots']",['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.2-electron-image-(new).4b7e365.jpg']
https://mammothmemory.net/chemistry/atomic-structure/atomic-number/atomic-number.html,Atomic number,The atomic number tells you how many protons the element has.,['The atomic number is a tom cat with only a pea to eat (proton).'],"['tom', 'pea']",['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.10 Atomic number memory aid (2).jpg']
https://mammothmemory.net/chemistry/atomic-structure/mass-number/mass-number.html,Mass number,The mass number is the number of protons plus the number of neutrons in the atom. It is always the biggest number and is roughly double the atomic number.,"['The mass number is represented by a bull mastiff eating a bowl of peas (protons) and newts (neutrons). (I.e. all the live yummy bits, not electronic\xa0robots (electrons), because who wants to eat an electronic robot!)']","['mas', 'peas', 'newts', 'electronic', 'robots']",['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.11 Mass number memory aid (2).jpg']
https://mammothmemory.net/chemistry/atomic-structure/atomic-number-and-mass-number/atomic-number-and-mass-number.html,Atomic number and mass number,"The periodic table shows the unique symbol of every element, together with its mass number and atomic number. For example, lithium (Li) has a mass number of 7 and an atomic number of 3",['A bull mastiff (mass) dog is sitting on top of\xa0a tom (atomic) cat. The mass number is always the bigger\xa0number.'],"['bull mastiff', 'sitting on top of', 'tom', 'tom', 'cat']","['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.12 Mass and atomic numbers block.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.13 Mass is always bigger memory aid.jpg']"
https://mammothmemory.net/chemistry/atomic-structure/the-periodic-table-has-no-charge/the-periodic-table-has-no-charge.html,The periodic table has no charge,,[],[],['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.14 Periodic table has no charge image (2).jpg']
https://mammothmemory.net/chemistry/atomic-structure/summary-structure-of-an-atom/summary-structure-of-an-atom.html,Summary Structure of an Atom,THAT IS IT. The last 8 pages are the essential basics of Chemistry i.e.,[],[],['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.12 Mass and atomic numbers block.jpg']
https://mammothmemory.net/chemistry/atomic-structure/relative-mass-of-particles/relative-mass-of-particles.html,Relative mass of particles,"Protons and neutrons weigh the same, whereas electrons weigh very little (almost nothing)","['Protons (peas) have a mass of one.', 'Neutrons (newts) weigh the same as protons (peas), so also have a mass of one.', 'On the other hand, electrons\xa0(electronic robots) weigh almost nothing whatsoever… they’re empty inside!']","['Protons', 'Neutrons', 'protons', 'electrons']","['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.6-proton-weight-image-(new).bc0e8d3.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.7-neutrons-weight-image-new-.d36cfa1.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.8-electron-weight-image-new.a5f1de9.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/electron-proton-neutron.8038c66.jpg']"
https://mammothmemory.net/chemistry/atomic-structure/hydrogen/hydrogen.html,Hydrogen,Hydrogen has a mass number of one and an atomic number of one.,[],[],['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.15 Hydrogen block.jpg']
https://mammothmemory.net/chemistry/atomic-structure/isotopes/isotopes.html,Isotopes,"All atoms of an element will have the same number of protons. However, atoms of the same element can sometimes have a different number of neutrons. These are called isotopes.",['The newts (neutrons) are skating ‘on top’ of the ice (‘ice on top’ – isotope).'],"['newts (neutrons)', '(neutrons)', '‘on top’', 'ice']",['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.16 Isotope mnemonic (2).jpg']
https://mammothmemory.net/chemistry/atomic-structure/electron-shells/electron-shells.html,Electron Shells,Some electrons are closer to the nucleus of an atom than others. Electrons actually orbit the nucleus in what are known as “shells”.,"['To help you remember that electrons are arranged in shells, imagine our electronic robot\xa0(electron) hatching out of a shell:']","['electronic robot', 'shell']","['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.17 Electron shells image (2).jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.18-electron-shell-memory-aid-(new).feaf028.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.19 Hydrogen electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.20 Helium electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.21 Lithium electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.22 Beryllium electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.23 Boron electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.24 Carbon electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.25 Nitrogen electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.26 Oxygen electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.27 Fluorine electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.28 Neon electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.29 Sodium electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.30 Magnesium electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.31 Aluminium electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.32 Silicon electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.33 Phosphorus electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.34 Sulphur electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.35 Chlorine electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.36 Argon electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.37 Potassium electron arrangement image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.38 Calcium electron arrangement image.jpg']"
https://mammothmemory.net/chemistry/atomic-structure/electron-shells-and-2-8-8/electron-shells-and-2-8-8.html,"Electron shells and 2,8,8","To remember how many electrons are allowed in each shell, think of two fat ladies (2, 8, 8) on a beach covered in shells.","['To remember how many electrons are allowed in each shell, think of two fat ladies (2, 8, 8) on a beach covered in shells.']","['two fat ladies', 'shells']","['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.39 Electronic shell obit mnemonic (2).jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.40 Sodium has 11 electrons image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.41 Sodium shell contents diagram.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.42 Chlorine has 17 electrons image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.43 Chlorine shell contents diagram.jpg']"
https://mammothmemory.net/chemistry/atomic-structure/ions/ions.html,Ions,Ions are created when a neutral atom loses or gains electrons.,"['To remind you, here’s an image of electronic robots (electrons) playing a round of golf using golf irons (ions).', 'Note: When chlorine gains an electron to become an ion, it is known as a chloride ion not a chlorine ion.', 'Note: When oxygen gains electrons to become an ion, it is known as an oxide ion not an oxygen ion.']","['electronic robots', 'irons', 'Note: When chlorine gains an electron to become an ion, it is known as a chloride ion not a chlorine ion.', 'Note: When oxygen gains electrons to become an ion, it is known as an oxide ion not an oxygen ion.']","['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.44-ion-memory-aid-(new).b1de29e.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.45 Sodium and chlorine reacting.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.46 Sodium and chlorine ions.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.47 Sodium ion image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.48 Chloride ion image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.49 Magnesium and oxygen reaction diagram.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.50 Magnesium and oxygen ion image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.51 Magnesium ion image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.52 Oxide image.jpg']"
https://mammothmemory.net/chemistry/atomic-structure/valency/valency.html,Valency,"Valency is the number of bonds an atom can make with other atoms, usually based on the number of electrons in its outer shell.","['To help you remember that valency is about an atom’s potential to bond, imagine a bride who’s told to lift her veil and see (valency) how many grooms want to bond with her.']","['veil and see', 'bond']","['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.53 Valency memory aid (2).jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.54 Carbon valency diagram.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.55 Oxygen valency diagram.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.56 Elemental group valency chart.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.57 Lithium and fluorine diagram.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.58 Lithium fluoride diagram.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.59 Magnesium and oxygen valency diagram.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.60 Magnesium oxide diagram.jpg']"
https://mammothmemory.net/chemistry/atomic-structure/relative-atomic-mass-and-relative-formula-mass/relative-atomic-mass-and-relative-formula-mass.html,Relative atomic mass and relative formula mass,"Whenever you see the words ‘relative’ in chemistry, it means the mass number.","['Think of all the relatives (relatives), of the bull\xa0mastiff (mass number).']","['relatives (relatives), of the bull\xa0mastiff', '(relatives), of the bull', '']","['https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.61 Its that easy image.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.62 Relative mass number memory aid (2).jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.63 Hydrogen relative atomic mass block.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.64 Carbon relative atomic mass block.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.65 Hydrogen atomic mass of 1 block.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.66 Oxygen atomic mass of 16 block.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.67 Sodium atomic mass of 23 block.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.68 Chlorine atomic mass of 35.5 block.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.69 Chlorine atomic mass of 35 block.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.70 Chlorine atomic mass of 37 block.jpg', 'https://mammothmemory.net/images/user/base/Chemistry/2. Atomic Structure/2.2.71 Chlorine relative atomic mass of 35.5.jpg']"
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/accelerando.html,Accelerando (or accel.),Gradually getting faster,['Ready! Steady! Accelerate-and-go! (accelerando) The two boys start pedalling their go-carts and gradually get quicker.'],"['Acceler', 'and', 'go', 'gradually get quicker']",['https://mammothmemory.net/images/user/base/music/vocab/accelerando-in-music-vocab.1eb4933.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/adagio.html,Adagio,Very slow,"['The adder, she goes (adagio) very slowly so we have to wait for her.']","['adder', 'she', 'o', 'very slow']",['https://mammothmemory.net/images/user/base/music/vocab/adagio-in-music-vocab.2d20445.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/allegretto.html,Allegretto,Fairly quickly (but not as quick as allegro),['Because there is no queue at the alley grotto (allegretto) you can see Santa fairly quickly.'],"['alley grotto', 'fairly quickly']",['https://mammothmemory.net/images/user/base/music/vocab/allegretto-in-music-vocab.b580bdf.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/allegro.html,Allegro,Quick (literally 'cheerful'),['The athlete had a leg grow (allegro) and cheerfully ran quickly to win the race.'],"['a leg grow', 'cheerfully', 'quickly']",['https://mammothmemory.net/images/user/base/music/vocab/allegro-in-music-vocab.e784e22.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/andante.html,Andante,"At a medium (""walking"") speed",['I took my dog and auntie (andante) for a walk at a medium speed.'],"['and auntie', 'medium']",['https://mammothmemory.net/images/user/base/music/vocab/andante-in-music-vocabulary.03f90b0.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/cantabile.html,Cantabile,In a singing style,"[""Tonight they proved you can't table lay (cantabile) while singing opera.""]","[""can't table lay"", 'singing']",['https://mammothmemory.net/images/user/base/music/vocab/cantabile-in-music-vocabulary.a57dd8e.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/crescendo.html,Crescendo,Gradually getting louder,['When the creche ends (crescendo) the noise gets gradually louder as children see their parents.'],"['creche end', 'gets gradually louder']",['https://mammothmemory.net/images/user/base/music/vocab/crescendo-in-music-vocabulary.712e60d.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/da-capo.html,Da Capo (or D.C.),Repeating from the beginning,"[""He'd dropped his cap - oh dear! (capo). It meant he had to repeat from the beginning.""]","['cap', 'oh', 'repeat from the beginning']",['https://mammothmemory.net/images/user/base/music/vocab/da-capo-in-music-vocabulary.1ab019f.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/dal-segno.html,Dal Segno (or D.S.),Repeat from the sign  #segno,"[""The steward is worried they'll say no (dal segno), because they have to repeat from the sign and queue again tomorrow!""]","[""they'll say no"", 'repeat from the sign']",['https://mammothmemory.net/images/user/base/music/vocab/dal-segno-in-music-vocabulary.ca6de36.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/decrescendo.html,Decrescendo,Gradually getting quieter,"['The decrease in the noise after creche ended (decrescendo), as the parents drove away was a gradual decline but it was such a relief.']","['decre', 'creche end', 'gradual decline']",['https://mammothmemory.net/images/user/base/music/vocab/decrescendo-in-music-vocabulary.ab53857.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/diminuendo.html,Diminuendo,Gradually getting quieter and slowing down,['The sound of the foghorn will dim in the end (diminuendo): as you speed away from the shore it will gradually get quieter. Now the noise is less he can gradually slow down too.'],"['dim in', 'end', 'gradually get quieter. Now the noise is less he can gradually slow down too.', '.', 'Now the noise is less he can', 'down too.']",['https://mammothmemory.net/images/user/base/music/vocab/diminuendo-in-music-vocabulary.7721c59.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/dolce.html,Dolce,Sweet,"['""That doll chair (dolce) would make such a sweet present for my daughter!""']","['doll chair', 'sweet']",['https://mammothmemory.net/images/user/base/music/vocab/remember-dolce-in-music-vocabulary.f25407a.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/fine.html,Fine,The end,['The shark had a fin shaped like an A (fine) at the end of its tail.'],"['fin', 'A', 'the end']",['https://mammothmemory.net/images/user/base/music/vocab/fine-in-music-vocabulary.4ba0ee3.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/forte.html,Forte,Loud,['The battle at the fort was a (forte) loud one. The fort had a large #forte\xa0above the drawbridge.'],"['fort', 'a', 'loud']",['https://mammothmemory.net/images/user/base/music/vocab/forte-in-music-vocabulary.502a38c.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/fortissimo.html,Fortissimo,Very loud,"[""The forty sumo (fortissimo) wrestlers' shouts were very loud.""]","['forty sumo', 'very loud']",['https://mammothmemory.net/images/user/base/music/vocab/fortissimo-in-music-vocabulary.98b6edd.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/legato.html,Legato,Smoothly,"['To complete the tattoo leg art (legato), he needed a smooth leg.']","['leg art', 'smooth']",['https://mammothmemory.net/images/user/base/music/vocab/legato-in-music-vocabulary.37ddbaa.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/lento.html,Lento,Slow,['He was so leant over (lento) on his stick that he was very slow.'],"['leant o', 'slow']",['https://mammothmemory.net/images/user/base/music/vocab/lento-in-music-vocab.b3f7799.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/mezzo.html,Mezzo,Half,['They met to sew (mezzo) exactly half way between their houses.'],"['met', 'sew', 'half']",['https://mammothmemory.net/images/user/base/music/vocab/mezzo-in-music-vocab.583f52d.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/mezzo-forte.html,Mezzo Forte (mf.),"Literally ""half"" loud; moderately loud","['They met to sew (mezzo) exactly half way between their houses.', 'The battle at the fort was a (forte) loud one. The fort had a large #forte\xa0above the drawbridge.']","['met', 'sew', 'half', 'fort', 'a', 'loud']","['https://mammothmemory.net/images/user/base/music/vocab/mezzo-in-music-vocab.583f52d.jpg', 'https://mammothmemory.net/images/user/base/music/vocab/forte-in-music-vocabulary.502a38c.jpg']"
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/mezzo-piano.html,Mezzo Piano (MP),"Literally ""half"" quiet, moderately quiet","['Mezzo (M.) – Half', '(Pronounced met-soh)', 'They met to sew (mezzo) exactly half way between their houses.', ""The tiny mouse played the piano so quietly so that she didn't wake anyone up.""]","['Mezzo (M.) – Half', '(Pronounced met-soh)', 'met', 'sew', 'half', 'piano', 'quietly']","['https://mammothmemory.net/images/user/base/music/vocab/mezzo-in-music-vocab.583f52d.jpg', 'https://mammothmemory.net/images/user/base/music/vocab/piano-in-music-vocab.1037cd5.jpg']"
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/moderato.html,Moderato,at a moderate pace,[],[],['https://mammothmemory.net/images/user/base/music/vocab/moderato-in-music-vocab.180e6d9.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/piano.html,Piano (P.),Quietly,"[""The tiny mouse played the piano so quietly so that she didn't wake anyone up.""]","['piano', 'quietly']",['https://mammothmemory.net/images/user/base/music/vocab/piano-in-music-vocab.1037cd5.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/pianissimo.html,Pianissimo (PP.),Very quiet,"['Will she pee on this sumo (pianissimo)? The baby is very quiet, but she is full of surprises!']","['pee on this sumo', 'very quiet']",['https://mammothmemory.net/images/user/base/music/vocab/pianissimo-in-music-vocab.b7f3c9a.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/poco.html,Poco,A little,"[""Their Thursday night poker (poco) game was a little treat after a hard week's scavenging.""]","['poker', 'a little']",['https://mammothmemory.net/images/user/base/music/vocab/poco-in-music-vocab.91e14ad.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/rallentando.html,Rallentando (or rallo),Gradually getting slower,['As Dad approached the rally on a tandem (rallentando) he got gradually slower.'],"['rall', 'on', 'tandem', 'gradually slower']",['https://mammothmemory.net/images/user/base/music/vocab/rallentando-in-music-vocabulary2.638d89d.jpg']
https://mammothmemory.net/music/music-vocabulary/common-sheet-music-terms/ritardando.html,Ritardando (or ritard. or rit.),Gradually getting slower,['The roadworkers re-tarred and do (ritardando) repairs on the road but got gradually slower as they become tired.'],"['re-tarred and do', 'got gradually slower']",['https://mammothmemory.net/images/user/base/music/vocab/ritardando-in-music-vocab.b2114fd.jpg']
